e1:e1
e2:e2

crash;recession
accident;snarl
crowd;fear
loss;sorrow
cholesterol;disease
stress;breakouts
law;redistribution
Fog;irritation
rainfall;landslide
lightning;surges
wine;headache
conflict;destruction
Germs;disease
refugees;disease
winds;cancellations
Fog;disorientation
protests;revolution
viruses;illness
rain;food
necessity;Entrepreneurship
Suicide;death
stress;divorce
ball;noise
malfunctions;delays
earthquake;blackout
Cardiovascular disease;morbidity
Dizziness;sinus pressure
crowd;fear
confrontation;commotion
reduction;relaxation
wind;delays
drum;sound
earthquake;landslide
blasts;fire
stress;breakouts
mentality;war
infection;irritation
snow;spill
